title,date,project_id
Received by GEF,06 Feb 2018,9992
Project Approved for Implementation,15 May 2018,9992
Project closed,,9992
Received by GEF,16 Feb 2018,10003
Project Approved for Implementation,02 Apr 2018,10003
Project closed,,10003
Received by GEF,16 Jan 2018,9978
Preparation Grant Approved,02 Feb 2018,9978
Concept Approved,02 Feb 2018,9978
Project Approved for Implementation,,9978
Project closed,,9978
Received by GEF,16 Feb 2018,10002
Preparation Grant Approved,28 Mar 2018,10002
Concept Approved,28 Mar 2018,10002
Project Approved for Implementation,,10002
Project closed,,10002
Received by GEF,06 Feb 2018,9991
Project Approved for Implementation,15 May 2018,9991
Project closed,,9991
Received by GEF,16 Jan 2018,9979
Preparation Grant Approved,20 Jun 2018,9979
Concept Approved,20 Jun 2018,9979
Project Approved for Implementation,,9979
Project closed,,9979
Received by GEF,18 Jan 2018,9981
Project Approved for Implementation,02 Apr 2018,9981
Project closed,,9981
Received by GEF,18 Jan 2018,9980
Project Approved for Implementation,02 Apr 2018,9980
Project closed,,9980
Received by GEF,16 Nov 2017,9955
Preparation Grant Approved,16 Jan 2018,9955
Concept Approved,16 Jan 2018,9955
Project Approved for Implementation,,9955
Project closed,,9955
Received by GEF,26 Oct 2017,9947
Concept Approved,02 Feb 2018,9947
Project Approved for Implementation,13 Jun 2018,9947
Project closed,,9947
Received by GEF,22 Sep 2017,9930
Project Approved for Implementation,15 May 2018,9930
Project closed,,9930
Received by GEF,14 Sep 2017,9927
Preparation Grant Approved,02 Feb 2018,9927
Concept Approved,02 Feb 2018,9927
Project Approved for Implementation,,9927
Project closed,,9927
Received by GEF,25 Sep 2017,9932
Project Approved for Implementation,15 May 2018,9932
Project closed,,9932
Received by GEF,05 Sep 2017,9910
Preparation Grant Approved,25 May 2018,9910
Concept Approved,01 Jun 2018,9910
Project Approved for Implementation,,9910
Received by GEF,14 Aug 2017,9882
Project closed,,9910
Project Approved for Implementation,28 Aug 2017,9882
Project closed,,9882
Received by GEF,05 Sep 2017,9911
Preparation Grant Approved,30 Oct 2017,9911
Concept Approved,01 Nov 2017,9911
Project Approved for Implementation,,9911
Project closed,,9911
Received by GEF,21 Oct 2017,9942
Preparation Grant Approved,05 Jun 2018,9942
Concept Approved,05 Jun 2018,9942
Project Approved for Implementation,,9942
Project closed,,9942
Received by GEF,17 Aug 2017,9884
Project Approved for Implementation,09 Nov 2017,9884
Project closed,,9884
Received by GEF,14 Sep 2017,9926
Preparation Grant Approved,25 Sep 2017,9926
Concept Approved,25 Sep 2017,9926
Project Approved for Implementation,,9926
Project closed,,9926
Received by GEF,06 Sep 2017,9915
Project Approved for Implementation,16 Nov 2017,9915
Project closed,,9915
Received by GEF,19 May 2017,9835
Preparation Grant Approved,01 Jun 2017,9835
Concept Approved,01 Jun 2017,9835
Project Approved for Implementation,15 Mar 2018,9835
Project closed,,9835
Received by GEF,06 Jul 2017,9865
Project Approved for Implementation,17 Jul 2017,9865
Project closed,,9865
Received by GEF,20 Jul 2017,9869
Received by GEF,21 Jun 2017,9849
Preparation Grant Approved,06 Jun 2018,9869
Concept Approved,06 Jun 2018,9869
Project Approved for Implementation,,9869
Received by GEF,30 Jun 2017,9860
Preparation Grant Approved,09 Apr 2018,9849
Concept Approved,09 Apr 2018,9849
Project Approved for Implementation,,9849
Project closed,,9849
Received by GEF,29 Jun 2017,9858
Received by GEF,25 Jul 2017,9872
Project closed,,9869
Project Approved for Implementation,17 Jul 2017,9860
Project closed,,9860
Received by GEF,11 Jul 2017,9866
Preparation Grant Approved,20 Jul 2017,9858
Concept Approved,20 Jul 2017,9858
Project Approved for Implementation,09 Nov 2017,9858
Project closed,,9858
Preparation Grant Approved,25 Sep 2017,9872
Concept Approved,25 Sep 2017,9872
Project Approved for Implementation,,9872
Project Approved for Implementation,22 Aug 2017,9866
Project closed,,9866
Project closed,,9872
Received by GEF,09 May 2017,9825
Preparation Grant Approved,05 Jul 2017,9825
Concept Approved,05 Jul 2017,9825
Project Approved for Implementation,,9825
Project closed,,9825
Received by GEF,16 May 2017,9832
Project Approved for Implementation,02 Jun 2017,9832
Project closed,,9832
Received by GEF,09 May 2017,9823
Project Approved for Implementation,20 Jun 2017,9823
Project closed,,9823
Received by GEF,21 Mar 2017,9809
Preparation Grant Approved,10 Apr 2017,9809
Concept Approved,10 Apr 2017,9809
Project Approved for Implementation,01 Mar 2018,9809
Project closed,,9809
Received by GEF,09 May 2017,9824
Project Approved for Implementation,02 Jun 2017,9824
Project closed,,9824
Received by GEF,09 Mar 2017,9802
Preparation Grant Approved,30 Oct 2017,9802
Concept Approved,01 Nov 2017,9802
Project Approved for Implementation,,9802
Project closed,,9802
Received by GEF,05 Apr 2017,9815
Preparation Grant Approved,08 Feb 2018,9815
Concept Approved,08 Feb 2018,9815
Project Approved for Implementation,,9815
Project closed,,9815
Received by GEF,08 May 2017,9822
Project Approved for Implementation,05 Jul 2017,9822
Project closed,,9822
Received by GEF,21 Mar 2017,9808
Preparation Grant Approved,11 Apr 2017,9808
Concept Approved,11 Apr 2017,9808
Project Approved for Implementation,27 Apr 2018,9808
Project closed,,9808
Received by GEF,10 Mar 2017,9805
Project Approved for Implementation,02 Jun 2017,9805
Project closed,,9805
Received by GEF,04 May 2017,9820
Preparation Grant Approved,15 May 2017,9820
Concept Approved,15 May 2017,9820
Project Approved for Implementation,,9820
Received by GEF,24 Apr 2017,9817
Project closed,,9820
Project Approved for Implementation,02 Jun 2017,9817
Project closed,,9817
Received by GEF,02 Mar 2017,9771
Preparation Grant Approved,28 Apr 2017,9771
Concept Approved,01 May 2017,9771
Project Approved for Implementation,07 Aug 2018,9771
Project closed,,9771
Received by GEF,03 Mar 2017,9772
Preparation Grant Approved,30 Oct 2017,9772
Concept Approved,01 Nov 2017,9772
Project Approved for Implementation,,9772
Project closed,,9772
Received by GEF,07 Mar 2017,9793
Received by GEF,02 Mar 2017,9770
Preparation Grant Approved,30 Oct 2017,9793
Concept Approved,01 Nov 2017,9793
Project Approved for Implementation,,9793
Project closed,,9793
Preparation Grant Approved,30 Oct 2017,9770
Concept Approved,01 Nov 2017,9770
Project Approved for Implementation,,9770
Project closed,,9770
Received by GEF,06 Mar 2017,9791
Preparation Grant Approved,30 Oct 2017,9791
Concept Approved,01 Nov 2017,9791
Project Approved for Implementation,,9791
Project closed,,9791
Received by GEF,03 Mar 2017,9775
Received by GEF,06 Mar 2017,9785
Preparation Grant Approved,04 Apr 2017,9775
Concept Approved,04 Apr 2017,9775
Project Approved for Implementation,05 Jun 2018,9775
Preparation Grant Approved,30 Oct 2017,9785
Concept Approved,01 Nov 2017,9785
Project Approved for Implementation,,9785
Project closed,,9785
Project closed,,9775
Received by GEF,02 Mar 2017,9762
Project Approved for Implementation,21 Aug 2017,9762
Project closed,,9762
Received by GEF,02 Mar 2017,9765
Project Approved for Implementation,02 Jun 2017,9765
Project closed,,9765
Received by GEF,02 Mar 2017,9766
Preparation Grant Approved,30 Oct 2017,9766
Concept Approved,01 Nov 2017,9766
Project Approved for Implementation,,9766
Project closed,,9766
Received by GEF,25 Jan 2017,9734
Project Approved for Implementation,01 Feb 2017,9734
Project closed,,9734
Received by GEF,23 Jan 2017,9731
Project Approved for Implementation,14 Jun 2017,9731
Project closed,,9731
Received by GEF,27 Feb 2017,9755
Project Approved for Implementation,02 Jun 2017,9755
Project closed,,9755
Received by GEF,01 Mar 2017,9759
Preparation Grant Approved,30 Oct 2017,9759
Concept Approved,01 Nov 2017,9759
Project Approved for Implementation,,9759
Project closed,,9759
Received by GEF,31 Jan 2017,9738
Preparation Grant Approved,01 Nov 2017,9738
Concept Approved,01 Nov 2017,9738
Project Approved for Implementation,,9738
Project closed,,9738
Received by GEF,23 Jan 2017,9732
Project Approved for Implementation,02 Oct 2017,9732
Project closed,,9732
Received by GEF,09 Feb 2017,9744
Preparation Grant Approved,03 Apr 2017,9744
Concept Approved,03 Apr 2017,9744
Project Approved for Implementation,23 Mar 2018,9744
Project closed,,9744
Received by GEF,13 Feb 2017,9747
Preparation Grant Approved,29 Mar 2017,9747
Concept Approved,29 Mar 2017,9747
Project Approved for Implementation,23 Mar 2018,9747
Project closed,,9747
Received by GEF,22 Feb 2017,9751
Project Approved for Implementation,02 Jun 2017,9751
Project closed,,9751
Received by GEF,23 Jan 2017,9730
Preparation Grant Approved,26 Jan 2017,9730
Concept Approved,26 Jan 2017,9730
Project Approved for Implementation,26 Jan 2018,9730
Project closed,,9730
Received by GEF,03 Jan 2017,9719
Preparation Grant Approved,18 Jan 2017,9719
Concept Approved,18 Jan 2017,9719
Project Approved for Implementation,06 Feb 2018,9719
Project closed,,9719
Received by GEF,10 Jan 2017,9723
Preparation Grant Approved,05 May 2017,9723
Concept Approved,01 Jun 2017,9723
Project Approved for Implementation,,9723
Project closed,,9723
Received by GEF,08 Dec 2016,9703
Preparation Grant Approved,13 Jul 2017,9703
Concept Approved,13 Jul 2017,9703
Project Approved for Implementation,03 Aug 2018,9703
Project closed,,9703
Received by GEF,03 Nov 2016,9671
Received by GEF,14 Nov 2016,9678
Preparation Grant Approved,05 Jul 2017,9671
Concept Approved,05 Jul 2017,9671
Project Approved for Implementation,,9671
Project closed,,9671
Preparation Grant Approved,05 Dec 2016,9678
Project Approved for Implementation,05 Dec 2016,9678
Project closed,,9678
Received by GEF,04 Nov 2016,9675
Concept Approved,04 Nov 2016,9675
Project Approved for Implementation,03 Aug 2017,9675
Project closed,,9675
Received by GEF,04 Nov 2016,9673
Preparation Grant Approved,04 Nov 2016,9673
Concept Approved,04 Nov 2016,9673
Project Approved for Implementation,,9673
Project closed,,9673
Received by GEF,16 Nov 2016,9681
Project Approved for Implementation,01 Jun 2017,9681
Project closed,,9681
Received by GEF,01 Dec 2016,9690
Project Approved for Implementation,28 Feb 2017,9690
Project closed,,9690
Received by GEF,06 Dec 2016,9697
Preparation Grant Approved,22 Dec 2016,9697
Project Approved for Implementation,,9697
Project closed,,9697
Received by GEF,03 Nov 2016,9670
Preparation Grant Approved,14 Nov 2016,9670
Concept Approved,14 Nov 2016,9670
Project Approved for Implementation,,9670
Project closed,,9670
Received by GEF,25 Aug 2016,9634
Project Approved for Implementation,19 Oct 2017,9634
Project closed,,9634
Received by GEF,25 Aug 2016,9633
Project Approved for Implementation,08 Dec 2016,9633
Project closed,,9633
Received by GEF,01 Nov 2016,9668
Preparation Grant Approved,30 Oct 2017,9668
Concept Approved,01 Nov 2017,9668
Project Approved for Implementation,,9668
Project closed,,9668
Received by GEF,09 Aug 2016,9622
Project Approved for Implementation,20 Oct 2016,9622
Project closed,,9622
Received by GEF,23 Sep 2016,9644
Project Approved for Implementation,27 Sep 2017,9644
Project closed,,9644
Received by GEF,30 Aug 2016,9635
Project Approved for Implementation,20 Sep 2016,9635
Project closed,,9635
Received by GEF,17 Oct 2016,9652
Concept Approved,04 Nov 2016,9652
Project Approved for Implementation,03 Jan 2018,9652
Project closed,,9652
Received by GEF,16 Sep 2016,9641
Project Approved for Implementation,21 Sep 2016,9641
Project closed,,9641
Received by GEF,28 Oct 2016,9667
Preparation Grant Approved,21 Feb 2017,9667
Concept Approved,21 Feb 2017,9667
Project Approved for Implementation,18 Apr 2018,9667
Project closed,,9667
Received by GEF,26 Jul 2016,9607
Concept Approved,03 Oct 2016,9607
Project Approved for Implementation,,9607
Project closed,,9607
Received by GEF,11 Jul 2016,9548
Project Approved for Implementation,18 Jul 2016,9548
Project closed,,9548
Received by GEF,26 Jul 2016,9602
Concept Approved,03 Oct 2016,9602
Project Approved for Implementation,,9602
Project closed,,9602
Received by GEF,26 Jul 2016,9601
Preparation Grant Approved,30 Oct 2017,9601
Concept Approved,01 Nov 2017,9601
Project Approved for Implementation,,9601
Project closed,,9601
Received by GEF,13 Jul 2016,9551
Preparation Grant Approved,30 Oct 2017,9551
Concept Approved,01 Nov 2017,9551
Project Approved for Implementation,,9551
Received by GEF,05 Jul 2016,9539
Project closed,,9551
Preparation Grant Approved,01 Dec 2016,9539
Concept Approved,01 Dec 2016,9539
Project Approved for Implementation,15 Mar 2018,9539
Project closed,,9539
Received by GEF,26 Jul 2016,9604
Preparation Grant Approved,30 Oct 2017,9604
Concept Approved,01 Nov 2017,9604
Project Approved for Implementation,,9604
Project closed,,9604
Received by GEF,11 Jul 2016,9547
Project Approved for Implementation,04 Aug 2016,9547
Project closed,,9547
Received by GEF,06 Jul 2016,9542
Preparation Grant Approved,25 Jan 2017,9542
Concept Approved,25 Jan 2017,9542
Project Approved for Implementation,,9542
Project closed,,9542
Received by GEF,08 Jul 2016,9545
Project Approved for Implementation,14 Oct 2016,9545
Project closed,,9545
Received by GEF,27 Jun 2016,9533
Project Approved for Implementation,12 Jul 2016,9533
Project closed,,9533
Received by GEF,28 Jun 2016,9535
Project Approved for Implementation,05 Jul 2016,9535
Project closed,,9535
Received by GEF,20 May 2016,9498
Preparation Grant Approved,22 Jun 2016,9498
Project Approved for Implementation,11 Apr 2018,9498
Project closed,,9498
Received by GEF,18 May 2016,9494
